FileName,X1,Y1,X2,Y2,Frame
0X1A0A263B22CCD966.avi,129,109,127,110,0
0X1A0A263B22CCD966.avi,127,110,125,110,0
0X1A0A263B22CCD966.avi,125,110,126,110,0
0X1A0A263B22CCD966.avi,126,110,128,110,0
0X1A0A263B22CCD966.avi,128,110,130,110,0
0X1A0A263B22CCD966.avi,130,110,132,110,0
0X1A0A263B22CCD966.avi,132,110,134,110,0
0X1A0A263B22CCD966.avi,134,110,136,111,0
0X1A0A263B22CCD966.avi,136,111,138,110,0
0X1A0A263B22CCD966.avi,138,110,140,111,0
0X1A0A263B22CCD966.avi,140,111,142,111,0
0X1A0A263B22CCD966.avi,142,111,144,111,0
0X1A0A263B22CCD966.avi,144,111,146,111,0
0X1A0A263B22CCD966.avi,146,111,148,111,0
0X1A0A263B22CCD966.avi,148,111,150,111,0
0X1A0A263B22CCD966.avi,150,111,152,111,0
0X1A0A263B22CCD966.avi,152,111,154,111,0
0X1A0A263B22CCD966.avi,154,111,156,111,0
0X1A0A263B22CCD966.avi,156,111,158,111,0
0X1A0A263B22CCD966.avi,158,111,160,110,0
0X1A0A263B22CCD966.avi,160,110,162,109,0
0X1A0A263B22CCD966.avi,162,109,163,111,0
0X1A0A263B22CCD966.avi,163,111,165,111,0
0X1A0A263B22CCD966.avi,165,111,167,111,0
0X1A0A263B22CCD966.avi,167,111,169,111,0
0X1A0A263B22CCD966.avi,169,111,171,111,0
0X1A0A263B22CCD966.avi,171,111,173,111,0
0X1A0A263B22CCD966.avi,173,111,175,111,0
0X1A0A263B22CCD966.avi,175,111,177,111,0
0X1A0A263B22CCD966.avi,177,111,179,111,0
0X1A0A263B22CCD966.avi,179,111,181,111,0
0X1A0A263B22CCD966.avi,181,111,183,110,0
0X1A0A263B22CCD966.avi,183,110,183,110,0
0X1A0A263B22CCD966.avi,183,110,181,109,0
0X1A0A263B22CCD966.avi,181,109,179,109,0
0X1A0A263B22CCD966.avi,179,109,177,109,0
0X1A0A263B22CCD966.avi,177,109,175,109,0
0X1A0A263B22CCD966.avi,175,109,173,109,0
0X1A0A263B22CCD966.avi,173,109,171,109,0
0X1A0A263B22CCD966.avi,171,109,169,109,0
0X1A0A263B22CCD966.avi,169,109,167,109,0
0X1A0A263B22CCD966.avi,167,109,165,109,0
0X1A0A263B22CCD966.avi,165,109,163,109,0
0X1A0A263B22CCD966.avi,163,109,161,109,0
0X1A0A263B22CCD966.avi,161,109,159,109,0
0X1A0A263B22CCD966.avi,159,109,157,109,0
0X1A0A263B22CCD966.avi,157,109,155,109,0
0X1A0A263B22CCD966.avi,155,109,153,109,0
0X1A0A263B22CCD966.avi,153,109,151,109,0
0X1A0A263B22CCD966.avi,151,109,149,109,0
0X1A0A263B22CCD966.avi,149,109,147,109,0
0X1A0A263B22CCD966.avi,147,109,145,109,0
0X1A0A263B22CCD966.avi,145,109,143,109,0
0X1A0A263B22CCD966.avi,143,109,141,109,0
0X1A0A263B22CCD966.avi,141,109,139,109,0
0X1A0A263B22CCD966.avi,139,109,137,109,0
0X1A0A263B22CCD966.avi,137,109,135,109,0
0X1A0A263B22CCD966.avi,135,109,133,109,0
0X1A0A263B22CCD966.avi,133,109,131,109,0
0X1A0A263B22CCD966.avi,131,109,129,109,0
0X1A0A263B22CCD966.avi,145,36,144,38,1
0X1A0A263B22CCD966.avi,144,38,144,40,1
0X1A0A263B22CCD966.avi,144,40,144,42,1
0X1A0A263B22CCD966.avi,144,42,144,44,1
0X1A0A263B22CCD966.avi,144,44,142,46,1
0X1A0A263B22CCD966.avi,142,46,141,48,1
0X1A0A263B22CCD966.avi,141,48,140,50,1
0X1A0A263B22CCD966.avi,140,50,139,52,1
0X1A0A263B22CCD966.avi,139,52,139,54,1
0X1A0A263B22CCD966.avi,139,54,138,56,1
0X1A0A263B22CCD966.avi,138,56,138,58,1
0X1A0A263B22CCD966.avi,138,58,138,60,1
0X1A0A263B22CCD966.avi,138,60,138,62,1
